Datum;Beschreibung;Typ;Total;Zürich_Ja;Zürich_Nein;Ticino_Ja;Ticino_Nein;Französische_Schweiz;Alpen_und_Voralpen;Westmittelland;Ostmittelland;Italienische_Schweiz;Alter_15-29;Alter_30-59;Alter_60++;Alter_15-64;Alter_65++;Männlich;Weiblich;Städtisch;Ländlich;D-CH;W-CH;I-CH
09.03.2020;Radius;Mean;15121.1;12990;15651.8;16224.9;15065.8;14373.9;16194.4;15804.8;14336.4;16098.3;15897.3;15873.5;11370.7;15831.7;9214.7;16545.1;13363.7;14347.4;16193.4;15305.9;14373.9;16098.3
09.03.2020;Distanz;Median;21820.8;20079.5;22501.3;17714.7;22122.5;21140.6;22045.8;21742.8;23555.8;17501.8;25785.3;24060.7;12549.7;23695.3;9704.5;25346.5;18204.2;16608.2;30249.3;22686.7;21140.6;17501.8
09.03.2020;Radius;Median;7100;6696;7169.2;5339.9;7176.3;6615;7207.6;6940.9;8018.4;5196;8695.7;8171.6;3723;8089.4;2913.8;8461.6;5890.5;5124.6;10376.3;7419.6;6615;5196
10.03.2020;Distanz;Mean;39053.7;34337.2;40204.7;26816;39667;41457.2;42930.1;38573.9;36954.8;26606.9;39025.1;41326.7;30663.4;40316.9;28522.4;42581.1;34633.2;35354;44215.3;39090.3;41457.2;26606.9
10.03.2020;Radius;Mean;14556;13895.7;14717.1;9227.2;14823.1;14329.2;15719;14920.7;14576.3;9155.4;14822.5;15178.7;11915.6;14929.9;11438.7;15836.3;12951.5;13162.1;16500.6;14995.7;14329.2;9155.4
10.03.2020;Distanz;Median;21211.8;21715.7;21125.7;15815.6;21448.1;22018.7;21457.8;18529.9;22782;15588.4;22666.7;22407.9;15087.3;22360.8;13087.8;24810.7;17735.9;16017;28627.8;21217.8;22018.7;15588.4
10.03.2020;Radius;Median;6872.1;7441.4;6734;4709.9;7022.7;6745.5;7239.3;6316;7804;4612.5;7308;7492;4863.2;7411.6;3811.6;8115.7;5759;5195;9862.5;7200.8;6745.5;4612.5
11.03.2020;Distanz;Mean;43273;36878.6;44850;31103.9;43857.4;40915.8;57419.9;41006.5;39656.4;30853.2;54830.7;41903.6;33808.2;44892.3;29905.1;44355.7;41919.8;42637.8;44158.5;44887.7;40915.8;30853.2
11.03.2020;Radius;Mean;14699.4;14115.2;14843.4;10731.9;14889.9;14427.7;15531.3;14910.3;14856.5;10645.3;15318.7;15239.3;11940.6;15210;10484.2;15759.7;13374.2;14174.6;15431.1;15056;14427.7;10645.3
11.03.2020;Distanz;Median;22863.2;23529.1;22513.2;15857.4;23281.3;22331.3;21940.5;22001.9;25579.6;15604.7;25434.1;23949.9;16186;23958;14235;24981.1;19740.4;18382.9;29817.4;23464.4;22331.3;15604.7
11.03.2020;Radius;Median;7177.7;8632.3;6937.6;4566.7;7412.9;6588.2;6890.8;6887.1;9076.9;4442.1;8606.4;7914.2;4987.7;7993.1;4007.1;8341.9;6110.5;5525.2;9970.3;7901.4;6588.2;4442.1
12.03.2020;Distanz;Mean;45981.2;58451.4;42849;26165.7;46968.5;43312.1;46397.2;41580.8;54354.4;25959.8;59231.2;44004.9;36650.6;48070.5;28538.7;53535.1;36466.5;43919;48901;48243.3;43312.1;25959.8
12.03.2020;Radius;Mean;15803.7;15603.1;15854;10332;16076.3;16043.3;17150;15517.2;15856.8;10250.6;15863.4;16162.1;14411.8;16449.1;10415.1;17556.9;13595.4;13984.3;18379.6;16096.1;16043.3;10250.6
12.03.2020;Distanz;Median;23047.9;21609.2;23558.5;12044.5;23672.5;23058.6;29377.1;21320.1;23240.2;11988.6;26466.9;23930.5;18801.4;24670.9;13748;25817.4;20080.9;17606.7;33623.3;23830.1;23058.6;11988.6
12.03.2020;Radius;Median;7372;7793.2;7337.7;3853.8;7727.3;6967.6;8814.6;6437.8;8234.5;3666.7;8584.1;7846.5;5298.7;8099.2;4330.5;8530.7;6131.4;5320.2;11022;7867;6967.6;3666.7
13.03.2020;Distanz;Mean;46761.5;39323.3;48623.6;25518.3;47792.6;52730.9;43999.6;42912.9;49772.4;25518.3;48850;50499.5;30748.4;49079.4;27544.9;54361.2;37219.8;37108;60050.1;46099.4;52730.9;25518.3
13.03.2020;Radius;Mean;15934.3;16077.5;15898.5;10062.5;16219.3;16242;16474.8;16196.9;16058.9;10062.5;20249.2;15698;11475.8;16608.5;10345.3;16941.6;14669.7;14786.8;17514;16211.6;16242;10062.5
13.03.2020;Distanz;Median;21834.9;21520.1;22085.6;11745.6;22604.5;22085.6;23590.8;21572.4;22562;11745.6;30196.5;22445.6;13081.9;23629.7;11201.4;24768.5;19528.5;16381;30367.8;22606.6;22085.6;11745.6
13.03.2020;Radius;Median;6849;7288.6;6795.5;3375.5;7039;6685.2;6949.5;6759;7642.8;3375.5;9960.9;6903.7;3803.3;7457.2;3251.1;7781.5;5923.2;4907.5;10006.3;7231.6;6685.2;3375.5
